"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Person LogicalModel FHIR Mapping","Mapping: Person LogicalModel AllergyIntolerance Mapping"
"Person.Demographie.DokumentiertesGeschlecht.extension","Person.Demographie.DokumentiertesGeschlecht.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Person.Demographie.DokumentiertesGeschlecht.modifierExtension","Person.Demographie.DokumentiertesGeschlecht.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Person.Demographie.DokumentiertesGeschlecht.Wert","Person.Demographie.DokumentiertesGeschlecht.Wert","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Dokumentierte Geschlechtsangabe der Person.","Geschlechtsangabe der Person, wie sie in einem Dokument oder einem anderen Datensatz erfasst wurde.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/administrative-gender","",,,,"Person.Demographie.DokumentiertesGeschlecht.Wert",1,1,"","","Patient.extension:recordedSexOrGender.extension:value.valueCodeableConcept"
"Person.Demographie.DokumentiertesGeschlecht.Typ","Person.Demographie.DokumentiertesGeschlecht.Typ","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Art der dokumentierten Geschlechtsangabe.","Art oder Kategorie der dokumentierten Geschlechtsangabe, zum Beispiel administratives Geschlecht, administratives biologisches Geschlecht oder bei Geburt zugewiesenes Geschlecht.","","","","","","","","","",,"example","","http://terminology.hl7.org/ValueSet/recorded-sex-or-gender-type","",,,,"Person.Demographie.DokumentiertesGeschlecht.Typ",0,1,"","","Patient.extension:recordedSexOrGender.extension:type.valueCodeableConcept"
"Person.Demographie.DokumentiertesGeschlecht.Gueltigkeitszeitraum","Person.Demographie.DokumentiertesGeschlecht.Gueltigkeitszeitraum","","","",0,1,"","","","Period {[]} {[]}
","Gültigkeitszeitraum der dokumentierten Geschlechtsangabe.","Zeitraum, in dem die dokumentierte Geschlechtsangabe für die Person gilt.","","","","","","","","","",,,,,"",,,,"Person.Demographie.DokumentiertesGeschlecht.Gueltigkeitszeitraum",0,1,"","","Patient.extension:recordedSexOrGender.extension:effectivePeriod.valuePeriod"
"Person.Demographie.DokumentiertesGeschlecht.Erfassungszeitpunkt","Person.Demographie.DokumentiertesGeschlecht.Erfassungszeitpunkt","","","",0,1,"","","","dateTime {[]} {[]}
","Zeitpunkt der Erfassung.","Zeitpunkt, zu dem die dokumentierte Geschlechtsangabe im System erfasst wurde.","","","","","","","","","",,,,,"",,,,"Person.Demographie.DokumentiertesGeschlecht.Erfassungszeitpunkt",0,1,"","","Patient.extension:recordedSexOrGender.extension:acquisitionDate.valueDateTime"
"Person.Demographie.DokumentiertesGeschlecht.Quelle[x]","Person.Demographie.DokumentiertesGeschlecht.Quelle[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}","Quelle der dokumentierten Geschlechtsangabe.","Codierte Angabe oder Referenz auf die Quelle der dokumentierten Geschlechtsangabe.","","","","","","","","","",,,,,"",,,,"Person.Demographie.DokumentiertesGeschlecht.Quelle[x]",0,1,"","","Patient.extension:recordedSexOrGender.extension:source.value[x]"
"Person.Demographie.DokumentiertesGeschlecht.Quelldokument[x]","Person.Demographie.DokumentiertesGeschlecht.Quelldokument[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}","Quelldokument der dokumentierten Geschlechtsangabe.","Referenz auf das Quelldokument oder codierte Angabe der Dokumentart, in der die Geschlechtsangabe erstmalig erfasst wurde.","","","","","","","","","",,,,,"",,,,"Person.Demographie.DokumentiertesGeschlecht.Quelldokument[x]",0,1,"","","Patient.extension:recordedSexOrGender.extension:sourceDocument.value[x]"
"Person.Demographie.DokumentiertesGeschlecht.ZustaendigerRechtsraum","Person.Demographie.DokumentiertesGeschlecht.ZustaendigerRechtsraum","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Zuständiger Rechtsraum der Quelle.","Rechtsraum, der für die Quelle oder das Quelldokument der erfassten Geschlechtsangabe zuständig ist.","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/jurisdiction","",,,,"Person.Demographie.DokumentiertesGeschlecht.ZustaendigerRechtsraum",0,1,"","","Patient.extension:recordedSexOrGender.extension:jurisdiction.valueCodeableConcept"
"Person.Demographie.Geburtsdatum","Person.Demographie.Geburtsdatum","","","",0,1,"","","","date {[]} {[]}
","Geburtsdatum des Person.","Geburtsdatum des Person.","","","","","","","","","",,,,,"",,,,"Person.Demographie.Geburtsdatum",0,1,"","","Patient.birthDate"
